Class,Order,Family,Genus-Species,Part,Patient Name,Image Type,Scan Options,Pixel Spacing (mm),Number of DICOM Files,Size of All DICOM Files (MB),File Path in ZIP
Mammala,Artiodactyla,Bovidae,Oryx_beisa-beisa,humerus,Oryx_gazella_humerus,AXIAL,AXIAL MODE,0.351562,216,108,Artiodactyla\Bovidae\Oryx_beisa-beisa\CT\nhm_1963.10.21.1\humerus
Mammala,Artiodactyla,Bovidae,Oryx_beisa-beisa,humerus,Oryx_gazella_humerus,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Bovidae\Oryx_beisa-beisa\CT\nhm_1963.10.21.1\humerus
Mammala,Artiodactyla,Bovidae,Oryx_beisa-beisa,metacarpus,Oryx_gazella_metacarpus,AXIAL,AXIAL MODE,0.232422,208,104,Artiodactyla\Bovidae\Oryx_beisa-beisa\CT\nhm_1963.10.21.1\metacarpus
Mammala,Artiodactyla,Bovidae,Oryx_beisa-beisa,metacarpus,Oryx_gazella_metacarpus,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Bovidae\Oryx_beisa-beisa\CT\nhm_1963.10.21.1\metacarpus
Mammala,Artiodactyla,Bovidae,Oryx_beisa-beisa,metatarsus,Oryx_gazella_metatarsus,AXIAL,AXIAL MODE,0.232422,208,104,Artiodactyla\Bovidae\Oryx_beisa-beisa\CT\nhm_1963.10.21.1\metatarsus
Mammala,Artiodactyla,Bovidae,Oryx_beisa-beisa,metatarsus,Oryx_gazella_metatarsus,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Bovidae\Oryx_beisa-beisa\CT\nhm_1963.10.21.1\metatarsus
Mammala,Artiodactyla,Bovidae,Oryx_beisa-beisa,tibia,Oryx_gazella_tibia,AXIAL,AXIAL MODE,0.3125,136,68,Artiodactyla\Bovidae\Oryx_beisa-beisa\CT\nhm_1963.10.21.1\tibia
Mammala,Artiodactyla,Bovidae,Oryx_beisa-beisa,tibia,Oryx_gazella_tibia,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Bovidae\Oryx_beisa-beisa\CT\nhm_1963.10.21.1\tibia
Mammala,Artiodactyla,Cervidae,Alces_alces-eurasian_elk,radius ulna,ALCES_RADIUS_ULNA,AXIAL,AXIAL MODE,0.351562,216,108,Artiodactyla\Cervidae\Alces_alces-eurasian_elk\radius ulna
Mammala,Artiodactyla,Cervidae,Alces_alces-eurasian_elk,radius ulna,ALCES_RADIUS_ULNA,LOCALIZER,SCOUT MODE,0.545455,2,4.98,Artiodactyla\Cervidae\Alces_alces-eurasian_elk\radius ulna
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,femur,CERVUS_D_FEMUR,AXIAL,AXIAL MODE,0.296875,280,140,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\femur
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,femur,CERVUS_D_FEMUR,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\femur
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,humerus,CERVUS_D_HUMERUS,AXIAL,AXIAL MODE,0.208984,240,120,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\humerus
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,humerus,CERVUS_D_HUMERUS,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\humerus
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,metacarpus-maybe,CERVUS_D_METACARPUS,AXIAL,AXIAL MODE,0.205078,224,112,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\metacarpus-maybe
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,metacarpus-maybe,CERVUS_D_METACARPUS,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\metacarpus-maybe
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,metatarsus-maybe,CERVUS_D_METATARSUS,AXIAL,AXIAL MODE,0.1875,280,140,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\metatarsus-maybe
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,metatarsus-maybe,CERVUS_D_METATARSUS,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\metatarsus-maybe
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,radius-ulna,CERVUS_D_RADIUS_&_ULNA,AXIAL,AXIAL MODE,0.220703,288,144,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\radius-ulna
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,radius-ulna,CERVUS_D_RADIUS_&_ULNA,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\radius-ulna
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,tibia,CERVUS_D_TIBIA,AXIAL,AXIAL MODE,0.212891,296,148,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\tibia
Mammala,Artiodactyla,Cervidae,Cervus_davidianus-Pere_Davids_deer,tibia,CERVUS_D_TIBIA,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_davidianus-Pere_Davids_deer\tibia
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,femur,CERVUSE_FEMUR,AXIAL,AXIAL MODE,0.207031,232,116,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\femur
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,femur,CERVUSE_FEMUR,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\femur
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,humerus,CERVUSE_HUMERUS,AXIAL,AXIAL MODE,0.228516,232,116,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\humerus
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,humerus,CERVUSE_HUMERUS,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\humerus
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,metacarpus-maybe,CERVUSE_METACARPUS,AXIAL,AXIAL MODE,0.1875,200,100,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\metacarpus-maybe
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,metacarpus-maybe,CERVUSE_METACARPUS,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\metacarpus-maybe
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,metatarsus-maybe,CERVUSE_METATARSUS,AXIAL,AXIAL MODE,0.189453,224,112,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\metatarsus-maybe
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,metatarsus-maybe,CERVUSE_METATARSUS,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\metatarsus-maybe
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,radius-ulna,CERVUSE_RADIUS_ULNA,AXIAL,AXIAL MODE,0.189453,272,136,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\radius-ulna
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,radius-ulna,CERVUSE_RADIUS_ULNA,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\radius-ulna
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,tibia,CERVUSE_TIBIA,AXIAL,AXIAL MODE,0.189453,272,136,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\tibia
Mammala,Artiodactyla,Cervidae,Cervus_elaphus-red_deer,tibia,CERVUSE_TIBIA,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Cervidae\Cervus_elaphus-red_deer\tibia
Mammala,Perissodactyla,Rhinocerotidae,Ceratotherium_simum-white_rhinoceros,fibula,white_rhino_fibula,AXIAL,AXIAL MODE,0.238281,144,72,Perissodactyla\Rhinocerotidae\Ceratotherium_simum-white_rhinoceros\CT\Ceratotherium_simum2\fibula
Mammala,Perissodactyla,Rhinocerotidae,Ceratotherium_simum-white_rhinoceros,fibula,white_rhino_fibula,LOCALIZER,SCOUT MODE,0.545455,2,2.8,Perissodactyla\Rhinocerotidae\Ceratotherium_simum-white_rhinoceros\CT\Ceratotherium_simum2\fibula
Mammala,Perissodactyla,Rhinocerotidae,Ceratotherium_simum-white_rhinoceros,radius,white_rhino_radius,AXIAL,AXIAL MODE,0.361328,164,82,Perissodactyla\Rhinocerotidae\Ceratotherium_simum-white_rhinoceros\CT\Ceratotherium_simum2\radius
Mammala,Perissodactyla,Rhinocerotidae,Ceratotherium_simum-white_rhinoceros,radius,white_rhino_radius,LOCALIZER,SCOUT MODE,0.545455,2,2.8,Perissodactyla\Rhinocerotidae\Ceratotherium_simum-white_rhinoceros\CT\Ceratotherium_simum2\radius
